City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,59.77,85,63,8.01,PT,1683867896
1,gornyy,55.1153,83.9059,43.9,77,60,13.02,RU,1683868376
2,bethel,41.3712,-73.414,59.94,75,0,3.44,US,1683867893
3,yellowknife,62.456,-114.3525,54.12,43,75,4.61,CA,1683867894
4,port-aux-francais,-49.35,70.2167,46.85,91,100,46.42,TF,1683867895
5,adamstown,-25.066,-130.1015,72.37,61,100,18.5,PN,1683867892
6,nabire,-3.3667,135.4833,86.02,69,100,2.55,ID,1683868001
7,tekkali,18.6167,84.2333,94.35,44,88,8.28,IN,1683868377
8,ciudad bolivar,8.1222,-63.5497,81.77,61,58,10.58,VE,1683868304
9,ilulissat,69.2167,-51.1,26.62,93,75,11.5,GL,1683867940
10,cill airne,52.05,-9.5167,44.96,98,42,3.13,IE,1683868147
11,blackmans bay,-43.0167,147.3167,60.93,48,73,4.72,AU,1683867892
12,lincoln city,44.9582,-124.0179,55.6,91,45,1.01,US,1683868378
13,whakatane,-37.9585,176.9854,56.77,60,2,7.78,NZ,1683868378
14,whitehorse,60.7161,-135.0538,54.37,40,75,17.27,CA,1683867927
15,porto novo,6.4965,2.6036,80.56,86,82,2.98,BJ,1683867978
16,longyearbyen,78.2186,15.6401,22.84,80,75,9.22,SJ,1683867796
17,puerto natales,-51.7236,-72.4875,44.38,73,84,11.59,CL,1683867820
18,daru,-9.0763,143.2092,80.24,89,100,12.37,PG,1683868379
19,krasnaya gorbatka,55.8703,41.7641,55.09,71,8,5.79,RU,1683868379
20,ancud,-41.8697,-73.8203,53.98,98,100,5.84,CL,1683867940
21,atafu village,-8.5421,-172.5159,83.73,77,56,11.99,TK,1683867898
22,saint-francois,46.4154,3.9054,49.44,93,100,6.91,FR,1683868380
23,asau,46.4333,26.4,49.28,72,86,3.04,RO,1683868380
24,georgetown,5.4112,100.3354,93.15,70,20,10.36,MY,1683867959
25,rio grande,-32.035,-52.0986,61.11,56,83,8.5,BR,1683867946
26,avarua,-21.2078,-159.775,78.85,73,75,13.8,CK,1683867892
27,thompson,55.7435,-97.8558,53.76,50,20,9.22,CA,1683867841
28,port mathurin,-19.6833,63.4167,77.92,77,65,21.99,MU,1683867903
29,ca mau,9.1769,105.15,91.17,59,100,3.85,VN,1683868381
30,port lincoln,-34.7333,135.8667,61.25,57,11,10.67,AU,1683867958
31,kailua-kona,19.6406,-155.9956,78.76,84,20,8.05,US,1683868382
32,tadine,-21.55,167.8833,74.03,70,100,20.71,NC,1683868019
33,shahr-e babak,30.1165,55.1186,75.0,12,2,9.01,IR,1683868382
34,ad dawadimi,24.5077,44.3924,89.29,13,7,23.33,SA,1683868382
35,lebu,-37.6167,-73.65,54.68,91,100,3.42,CL,1683867941
36,edinburgh of the seven seas,-37.0676,-12.3116,62.96,87,95,27.63,SH,1683867925
37,ghazni,33.5536,68.4269,67.89,29,12,0.25,AF,1683868383
38,la passe,45.5549,-0.8967,50.99,88,89,5.37,FR,1683867960
39,kapa'a,22.0752,-159.319,75.52,81,75,8.05,US,1683868384
40,severo-yeniseyskiy,60.3725,93.0408,32.76,69,100,9.89,RU,1683868384
41,villa mercedes,-33.6757,-65.4578,61.21,68,33,9.8,AR,1683868384
42,badger,64.8,-147.5333,59.25,44,40,4.61,US,1683867898
43,iskateley,67.6803,53.1512,33.28,100,100,5.91,RU,1683867901
44,al kharijah,25.4514,30.5464,78.84,28,0,8.59,EG,1683868385
45,chandauli,25.2667,83.2667,98.65,7,0,6.64,IN,1683868385
46,ponta delgada,37.7333,-25.6667,61.52,88,75,4.61,PT,1683868386
47,san sebastian de la gomera,28.0916,-17.1133,67.15,88,0,3.44,ES,1683868009
48,pavlovka,52.6897,47.1405,48.33,90,100,7.83,RU,1683868386
49,pisco,-13.7,-76.2167,68.05,77,100,5.75,PE,1683867936
50,albany,42.6001,-73.9662,59.79,72,61,3.0,US,1683867887
51,grytviken,-54.2811,-36.5092,23.9,66,1,5.55,GS,1683867896
52,atasu,48.6814,71.6433,74.19,36,26,11.97,KZ,1683868387
53,hawaiian paradise park,19.5933,-154.9731,74.03,87,100,8.05,US,1683867892
54,valentin gomez farias,28.2167,-106.5833,63.84,15,23,13.4,MX,1683868388
55,waitangi,-43.9535,-176.5597,52.11,63,67,28.9,NZ,1683867891
56,bilibino,68.0546,166.4372,34.32,99,100,3.04,RU,1683867899
57,quzhou,28.9594,118.8686,73.83,63,71,7.16,CN,1683868389
58,punta arenas,-53.15,-70.9167,44.71,65,20,18.41,CL,1683867882
59,taoudenni,22.6783,-3.9836,87.96,11,89,8.34,ML,1683868390
60,angra do heroismo,38.65,-27.2167,63.12,88,70,4.61,PT,1683868390
61,iqaluit,63.7506,-68.5145,15.53,92,20,5.75,CA,1683867681
62,dadukou,26.5479,101.7054,79.34,37,80,8.12,CN,1683868391
63,labytnangi,66.6572,66.4183,21.07,92,97,5.35,RU,1683867908
64,tarawa,1.419,172.984,87.89,74,40,9.22,KI,1683868391
65,glace bay,46.1969,-59.957,37.89,84,0,5.01,CA,1683868391
66,wewak,-3.5534,143.6268,84.85,75,79,7.92,PG,1683868392
67,funtua,11.5233,7.3081,75.78,66,63,7.9,NG,1683868096
68,khash,28.2211,61.2158,85.86,13,14,7.11,IR,1683868392
69,valle hermoso,25.6667,-97.8333,82.29,90,54,13.65,MX,1683868392
70,ushuaia,-54.8,-68.3,46.06,76,100,13.8,AR,1683867912
71,port elizabeth,-33.918,25.5701,57.49,88,0,14.97,ZA,1683867618
72,naze,28.3667,129.4833,74.32,61,18,9.53,JP,1683867899
73,vila franca do campo,37.7167,-25.4333,61.21,89,99,1.57,PT,1683867929
74,new norfolk,-42.7826,147.0587,62.92,50,63,5.01,AU,1683867993
75,chernyshevskiy,63.0128,112.4714,40.78,67,100,11.61,RU,1683868394
76,olonkinbyen,70.9221,-8.7187,33.22,92,85,16.69,SJ,1683867900
77,kruisfontein,-34.0033,24.7314,56.59,74,100,14.36,ZA,1683867971
78,sivers'k,48.867,38.1001,51.89,69,2,6.78,UA,1683868395
79,vilyuchinsk,52.9306,158.4028,44.26,86,100,4.07,RU,1683867947
80,gaiman,-43.2897,-65.4929,59.92,49,100,7.99,AR,1683868396
81,piti village,13.4626,144.6933,90.48,73,40,6.91,GU,1683868396
82,calama,-22.4667,-68.9333,54.0,17,0,6.82,CL,1683868396
83,west sedona,34.8672,-111.8054,63.88,37,0,4.61,US,1683868397
84,hasaki,35.7333,140.8333,68.22,56,63,10.11,JP,1683868001
85,rongelap,11.1635,166.8941,81.61,80,74,16.93,MH,1683867938
86,tazacorte,28.629,-17.9293,65.37,89,75,13.8,ES,1683868013
87,lodja,-3.4833,23.4333,71.31,80,92,1.77,CD,1683868398
88,howrah,22.5892,88.3103,91.4,70,40,10.36,IN,1683867724
89,cuauhtemoc,28.4167,-106.8667,58.32,17,38,11.97,MX,1683868398
90,zhaotong,27.3167,103.7167,48.96,80,100,6.06,CN,1683868399
91,arraial do cabo,-22.9661,-42.0278,71.28,79,95,11.63,BR,1683867716
92,la ronge,55.1001,-105.2842,55.65,44,40,6.91,CA,1683867983
93,monrovia,6.3005,-10.7969,76.77,86,100,3.11,LR,1683867943
94,nadym,65.5333,72.5167,20.16,71,49,5.99,RU,1683868400
95,bridgewater,44.3835,-64.5155,43.63,95,62,3.0,CA,1683868400
96,buka,40.8108,69.1986,81.27,28,100,6.26,UZ,1683868400
97,boda,4.3189,17.4695,69.69,96,46,3.51,CF,1683868401
98,paramirim,-13.4425,-42.2389,71.83,60,82,1.05,BR,1683868401
99,willmar,45.1219,-95.0433,66.15,77,0,8.05,US,1683868401
100,ust-nera,64.5667,143.2,40.1,71,100,3.42,RU,1683867959
101,bubaque,11.2833,-15.8333,79.0,72,100,13.76,GW,1683867954
102,sarmiento,-45.5882,-69.07,54.18,58,100,13.87,AR,1683868402
103,kalymnos,36.95,26.9833,62.13,67,20,11.5,GR,1683868402
104,shache,38.4167,77.2406,77.56,8,95,2.44,CN,1683868403
105,miyaly,48.8844,53.7836,59.5,53,60,16.42,KZ,1683868403
106,padang,-0.9492,100.3543,87.85,66,17,5.41,ID,1683868404
107,west island,-12.1568,96.8225,85.98,74,75,12.66,CC,1683867764
108,isafjordur,66.0755,-23.124,41.79,96,100,6.13,IS,1683867898
109,roxas,11.5853,122.7511,85.14,67,94,8.81,PH,1683868404
110,acarau,-2.8856,-40.12,77.65,84,19,5.35,BR,1683868026
111,taltal,-25.4,-70.4833,61.34,83,22,1.19,CL,1683868405
112,touros,-5.1989,-35.4608,77.54,83,82,8.79,BR,1683868011
113,utrik,11.2278,169.8474,81.3,81,89,16.26,MH,1683867967
114,ola,59.5833,151.2833,48.15,80,64,6.49,RU,1683867930
115,yakeshi,49.2833,120.7333,64.31,41,86,17.25,CN,1683868406
116,kamaishi,39.2667,141.8833,55.53,65,11,7.7,JP,1683868406
117,polyarnyy,69.1989,33.4478,39.16,100,100,8.12,RU,1683867969
118,fale old settlement,-9.3852,-171.2468,83.79,76,24,13.6,TK,1683867991
119,nizhniy odes,63.6445,54.856,40.84,90,100,7.83,RU,1683868406
120,gorontalo,0.5412,123.0595,87.39,64,98,5.21,ID,1683868407
121,anadyr,64.75,177.4833,37.9,75,0,6.71,RU,1683867948
122,margaret river,-33.95,115.0667,63.52,56,92,13.65,AU,1683867922
123,lazaro cardenas,17.9583,-102.2,80.94,75,99,7.11,MX,1683867920
124,zalingei,12.9096,23.4741,80.17,45,99,4.74,SD,1683868408
125,bardai,11.65,7.2333,77.14,64,54,7.72,NG,1683868408
126,babadag,44.9,28.7167,51.82,87,54,1.14,RO,1683868408
127,grand gaube,-20.0064,57.6608,81.37,66,12,5.01,MU,1683868409
128,axtla de terrazas,21.4667,-98.85,78.71,94,9,3.85,MX,1683868409
129,torrington,41.8007,-73.1212,59.13,84,48,3.47,US,1683868409
130,jeddah,21.5169,39.2192,85.86,32,0,3.44,SA,1683868205
131,stanley,54.868,-1.6985,48.79,93,100,8.05,GB,1683867928
132,burang,30.25,81.1667,42.87,20,1,0.49,CN,1683868410
133,swift current,50.2834,-107.8014,48.81,83,49,2.15,CA,1683868411
134,enewetak,11.3474,162.3373,82.13,82,92,16.15,MH,1683867975
135,college,64.8569,-147.8028,59.32,47,40,4.61,US,1683867939
136,aasiaat,68.7098,-52.8699,25.02,93,100,6.26,GL,1683867797
137,ceeldheer,3.8488,47.1806,82.94,75,50,16.58,SO,1683868412
138,kheri sampla,28.7778,76.7753,96.89,7,5,5.64,IN,1683868412
139,papatowai,-46.5619,169.4708,51.73,90,97,9.06,NZ,1683867896
140,imbituba,-28.24,-48.6703,57.56,81,40,10.94,BR,1683868413
141,port-vila,-17.7338,168.3219,82.0,69,100,13.8,VU,1683867678
142,ezhva,61.8128,50.7283,56.98,51,0,8.95,RU,1683868414
143,banda aceh,5.5577,95.3222,88.7,62,100,3.33,ID,1683868414
144,afaahiti,-17.75,-149.2833,78.67,93,100,23.38,PF,1683868012
145,sao joao da barra,-21.6403,-41.0511,70.25,86,100,7.65,BR,1683868415
146,mramani,-12.3464,44.5286,79.72,72,72,1.36,KM,1683868415
147,port alfred,-33.5906,26.891,58.17,98,100,5.01,ZA,1683867917
148,huarmey,-10.0681,-78.1522,71.56,87,99,7.78,PE,1683868415
149,bredasdorp,-34.5322,20.0403,52.61,78,91,12.73,ZA,1683867900
150,bhit shah,25.8044,68.4927,98.65,18,0,13.89,PK,1683868416
151,carnarvon,-24.8667,113.6333,77.2,52,0,9.8,AU,1683867937
152,tiksi,71.6872,128.8694,15.87,77,94,15.73,RU,1683867893
153,ghat,24.9647,10.1728,71.47,25,100,5.55,LY,1683868037
154,petropavlovsk-kamchatsky,53.0452,158.6483,42.78,70,75,4.47,RU,1683867898
155,santa cruz,-17.8,-63.1667,71.06,83,75,8.05,BO,1683868006
156,isangel,-19.55,169.2667,78.91,89,100,0.0,VU,1683867989
157,nuku'alofa,-21.1333,-175.2,79.14,83,20,3.44,TO,1683867982
158,funafuti,-8.5243,179.1942,84.2,94,75,10.36,TV,1683868418
159,san luis de la loma,17.2706,-100.8939,80.96,79,91,2.08,MX,1683868418
160,bodo,67.28,14.405,44.78,98,100,11.5,NO,1683868419
161,jasper,37.2001,-94.3502,71.89,83,100,6.91,US,1683868319
162,kamyshlov,56.8428,62.7111,50.56,35,7,8.39,RU,1683868419
163,sturgis,41.7992,-85.4192,62.73,45,0,5.75,US,1683868419
164,meizhou,24.2977,116.1072,69.64,91,100,1.92,CN,1683868420
165,laguna,38.421,-121.4238,65.75,69,0,6.91,US,1683868420
166,portland,45.5234,-122.6762,64.98,65,64,1.23,US,1683867754
167,port blair,11.6667,92.75,85.55,76,94,22.57,IN,1683868420
168,mashhad,36.297,59.6062,73.54,49,0,4.61,IR,1683868420
169,waingapu,-9.6567,120.2641,83.55,60,83,15.57,ID,1683868421
170,cellole,41.2048,13.8543,60.24,87,8,5.46,IT,1683868421
171,vilyuysk,63.7553,121.6247,46.13,36,1,4.92,RU,1683867946
172,estes park,40.3772,-105.5217,43.92,96,100,13.0,US,1683868148
173,st ives,50.2086,-5.4875,50.32,92,1,11.54,GB,1683868421
174,mont-dore,-22.2833,166.5833,75.99,99,99,10.87,NC,1683868421
175,chonchi,-42.6128,-73.8092,55.11,99,100,1.81,CL,1683867897
176,comodoro rivadavia,-45.8667,-67.5,60.66,44,0,18.41,AR,1683868354
177,bella vista,36.4295,-94.2316,72.41,88,0,12.66,US,1683868422
178,keta,5.9179,0.9879,82.27,83,31,7.72,GH,1683868015
179,fort saskatchewan,53.7168,-113.2187,57.99,77,69,4.88,CA,1683868422
180,balsas,-7.5325,-46.0356,73.74,83,83,1.34,BR,1683868423
181,rabo de peixe,37.8,-25.5833,60.31,88,75,4.61,PT,1683868423
182,gizo,-8.103,156.8419,84.36,74,57,4.14,SB,1683868011
183,punta del este,-34.9667,-54.95,52.97,93,20,5.75,UY,1683868423
184,kyzyl-mazhalyk,51.1333,90.6,69.33,31,77,12.41,RU,1683868016
185,weno,7.4515,151.8468,87.75,74,75,5.75,FM,1683868029
186,guayaramerin,-10.8368,-65.3614,71.42,94,98,1.88,BO,1683868424
187,baley,51.6,116.6333,54.27,18,33,13.2,RU,1683868424
188,constantia,44.1833,28.65,52.7,61,72,13.09,RO,1683868005
189,saint-julien-les-villas,48.2667,4.1,49.96,93,47,6.91,FR,1683868355
190,lompoc,34.6391,-120.4579,53.94,91,40,11.5,US,1683867909
191,mount gambier,-37.8333,140.7667,60.17,51,3,5.53,AU,1683867917
192,phan rang-thap cham,11.5667,108.9833,88.97,62,100,7.07,VN,1683868425
193,mil'kovo,55.6078,37.7956,59.41,64,55,4.03,RU,1683868425
194,al ghayzah,16.2079,52.176,84.11,62,22,3.09,YE,1683868425
195,yarmouth,41.7057,-70.2286,58.96,83,0,5.99,US,1683867711
196,rundu,-17.9333,19.7667,56.07,45,6,5.99,NA,1683867976
197,ar ruways,24.1103,52.7306,89.29,42,1,2.82,AE,1683868426
198,san patricio,28.017,-97.5169,80.83,95,8,12.55,US,1683867933
199,laojunmiao,39.8333,97.7333,64.85,9,1,9.93,CN,1683867904
200,ermoupolis,37.4423,24.9425,61.5,63,20,16.11,GR,1683868426
